,country_code,country_name,year,child_employment_rate,log_child_employment_rate,log_gdp_per_capita_ppp,agriculture_value_added_pct,primary_school_enrollment,life_expectancy,urban_population_pct,rural_electricity_access,child_population_pct,youth_unemployment_rate,log_private_consumption_per_capita,governance_index
0,AFG,Afghanistan,2014,15.056866604741106,2.7761365839252115,8.012661898140168,22.13704137195736,109.115516662598,62.26,24.587,86.5,46.7130662681856,10.094,,-1.6932352943583502
1,AFG,Afghanistan,2023,16.822363148332737,2.880454025390335,7.593279790644907,34.7432471445174,,66.035,26.933,81.4,43.2262038611198,17.291,,-2.1153108664576905
2,ARG,Argentina,2017,0.056265829357635654,0.05473988595104489,10.25188497862016,5.231622377250584,111.681457519531,76.543,91.749,100.0,24.5791315086803,22.843,9.121237182296259,1.0050789905848994
3,ARG,Argentina,2018,0.05360228377224657,0.052215039034036966,10.217133932074935,4.537878896811463,111.545608520508,76.77,91.87,99.9,24.3732916411389,23.845,9.090297658040788,1.1044492050849835
4,ARG,Argentina,2019,0.06046660576810697,0.05870900538782227,10.189814442465865,5.318555996734804,111.36531829834,76.847,91.991,100.0,24.0972913239252,25.842,9.019970436046831,0.8461286531072141
5,ARG,Argentina,2020,0.061017255490477734,0.059228122921349,10.080716712579758,6.3570336757552655,110.617813110352,75.878,92.111,100.0,23.6990914612707,30.428,8.88535860567808,0.6690047901255749
6,ARG,Argentina,2021,0.1034757207436891,0.09846494442791959,10.177372667987393,7.291282496220415,110.156112670898,73.948,92.229,100.0,23.2387470933239,23.373,8.973133768905656,0.38411843188300654
7,ARG,Argentina,2022,0.06877601061773839,0.0665140783927888,10.226619902789734,6.638296974736416,108.722412109375,75.806,92.347,100.0,22.7507462136988,19.004,9.06043689215732,0.43563263172808475
8,ARG,Argentina,2023,0.08064108724254351,0.07755446432440526,10.20750964665113,5.929853761832826,,77.395,92.463,100.0,22.190657287242,17.946,9.067924841168548,0.488558215768883
9,ARG,Argentina,2024,0.0869008360065039,0.0833303767526886,10.186711590562666,5.9815993063050685,,,92.579,,21.6039426858612,21.188,9.021186914320634,
10,BDI,Burundi,2017,19.508484483250783,3.020838677752551,6.782184618483335,28.54664700601706,111.118583679199,61.345,12.706,1.7,47.9494144399615,2.218,5.304880371276338,-1.65250278209507
11,BDI,Burundi,2020,3.512013867045929,1.5067435875611432,6.727336220240159,28.624949999794723,105.158096313477,62.569,13.708,0.9,46.9567456255177,1.69,5.281213095271893,-1.7337990091362192
12,BEN,Benin,2018,15.421593748265098,2.798597160718824,8.057203594776912,28.06477391270772,117.116798400879,59.71,47.312,16.3,43.0653989157617,2.702,6.627871890737967,0.08763745252580137
13,BEN,Benin,2022,17.921337276742438,2.940290241714901,8.185719497068254,26.896678796812385,113.04891204834,60.475,49.534,45.5,42.1206314865863,3.134,6.691992799958007,0.7032650886399374
14,BFA,Burkina Faso,2010,24.521747361317964,3.2395309264036873,7.536348718186433,24.1433866229434,76.8965606689453,56.343,24.633,1.5,45.5854907533139,5.965,6.005944928223639,0.5023559894631687
15,BFA,Burkina Faso,2022,5.558898172491183,1.8808226273383932,7.810779727118925,18.496712579201507,82.3567962646484,60.7,31.877,3.4,42.9683169274423,8.557,6.162209420011159,0.20694027516969826
16,BGD,Bangladesh,2019,6.365168725744091,1.9967619587824064,8.8304444847225,11.97532313589843,,72.625,37.405,88.9,29.4761618478294,11.594,6.982326849555978,-0.4375476572623296
